Équipe,Ronde,Adversaire,Elo
Sion_1,1,Sylvain Julmy,2187
Sion_1,1,Lindo Duratti,2135
Sion_1,1,Yves Deschenaux,2121
Sion_1,1,Guillaume Chauvon,2111
Sion_1,1,Ferran Rocamora Martorell,2111
Sion_1,1,Jean-Manuel Segura,2090
Sion_1,1,Hassan Roger Sadeghi,2082
Sion_1,1,Salvatore Cruceli,2077
Sion_1,1,Jan Steenhuis,2052
Sion_1,1,Roland Hauser,2047
Sion_1,1,Nicolas Perréard,2043
Sion_1,1,Robin Voland,2030
Sion_1,1,Joseph Edoecs,2021
Sion_1,1,Steve Monthoux,2013
Sion_1,1,Bernard Deschenaux,2002
Sion_1,1,Colin Cordey,1979
Sion_1,1,Sébastien Vasey,1966
Sion_1,1,Thierry Bonferroni,1954
Sion_1,1,Jonathan Jaccard,1953
Sion_1,1,Bertrand Banderet,1951
Sion_1,1,Roman Tkhoruk,1943
Sion_1,1,Stéphane Coletta,1933
Sion_1,1,Achim Schneuwly,1930
Sion_1,1,Vincent Conrad,1904
Sion_1,1,Luca Srdjenovic,1894
Sion_1,1,Marius Cornée,1894
Sion_1,1,Pierpaolo Ranieri,1891
Sion_1,1,Jason Weber,1828
Sion_1,1,Julien Coletta,1803
Sion_1,1,Mohamad Al-Dourobi,1782
Sion_1,1,Mathis Soubeyrand,1533
Sion_1,2,Dominique Li,2292
Sion_1,2,Richard Gerber,2233
Sion_1,2,Laurent Geiser,2210
Sion_1,2,Jean-Robert Vesin,2195
Sion_1,2,Daniel Stroppa,2182
Sion_1,2,Didier Leuba,2169
Sion_1,2,Raphael Erne,2164
Sion_1,2,Valentin Palmonella,2138
Sion_1,2,Jan Steenhuis,2057
Sion_1,2,Wissam Pheng,2045
Sion_1,2,Nicolas Perréard,2033
Sion_1,2,Roland Hauser,2026
Sion_1,2,Steve Monthoux,2013
Sion_1,2,Vlad Popescu,1990
Sion_1,2,Jean-Michel Paladini,1983
Sion_1,2,Samuel Detraz,1957
Sion_1,2,Bertrand Banderet,1942
Sion_1,2,Nils Delmonico,1940
Sion_1,2,Stéphane Coletta,1928
Sion_1,2,Tiziano Frei,1920
Sion_1,2,Yves Roduit,1910
Sion_1,2,Max Chappaz,1904
Sion_1,2,Roman Tkhoruk,1896
Sion_1,2,Jeremy Broome,1885
Sion_1,2,Luca Srdjenovic,1882
Sion_1,2,Jean-Yves Riand,1877
Sion_1,2,Jörg-Dieter Meyer,1869
Sion_1,2,Olivier Crettenand,1826
Sion_1,2,Olivier Ulmann,1788
Sion_1,2,Elias Girardin,1772
Sion_1,2,Mohamad Al-Dourobi,1770
Sion_1,2,Claude Bétrisey,1697
Sion_1,3,Igor Yarmonov,2342
Sion_1,3,Dominique Li,2292
Sion_1,3,Richard Gerber,2233
Sion_1,3,Hansjürg Känel,2226
Sion_1,3,Nathan ALFRED,2214
Sion_1,3,Mike Jäger,2114
Sion_1,3,Guillaume Chauvon,2076
Sion_1,3,Sandor Kaszas,2008
Sion_1,3,Gonçalo Varela Tavares,1967
Sion_1,3,Sébastien Vasey,1956
Sion_1,3,Thomas Mani,1949
Sion_1,3,Nils Delmonico,1940
Sion_1,3,Jean-Daniel Delacroix,1938
Sion_1,3,Jeremy Cendan,1932
Sion_1,3,Marc Tillmann,1921
Sion_1,3,Tiziano Frei,1920
Sion_1,3,Sébastien Pagliaro,1920
Sion_1,3,Armin Rauer,1918
Sion_1,3,Jörg Brauchli,1915
Sion_1,3,Alexan Floure,1913
Sion_1,3,Alexandre Bur,1901
Sion_1,3,Pierpaolo Ranieri,1893
Sion_1,3,Pierre Perruchoud,1890
Sion_1,3,Jörg-Dieter Meyer,1869
Sion_1,3,Lucas Candelier,1863
Sion_1,3,Jean-Marie Carron,1852
Sion_1,3,Fabrice Lovey,1821
Sion_1,3,Alexander Clarke,1802
Sion_1,3,Hervé Lanois,1781
Sion_1,3,Adrien Pignat,1747
Sion_1,3,Mathis Soubeyrand,1547
Sion_1,4,Igor Yarmonov,2342
Sion_1,4,Hansjürg Känel,2226
Sion_1,4,Sylvain Julmy,2179
Sion_1,4,Raphael Erne,2164
Sion_1,4,Ferran Rocamora Martorell,2126
Sion_1,4,Yves Deschenaux,2121
Sion_1,4,Hassan Roger Sadeghi,2098
Sion_1,4,Salvatore Cruceli,2083
Sion_1,4,Guillaume Chauvon,2076
Sion_1,4,Jean-Manuel Segura,2066
Sion_1,4,Robin Voland,2057
Sion_1,4,Vinzenz Tremp,2042
Sion_1,4,Roland Hauser,2026
Sion_1,4,Sandor Kaszas,2008
Sion_1,4,Bernard Deschenaux,2002
Sion_1,4,Andreas Füglistaler,1983
Sion_1,4,Gonçalo Varela Tavares,1967
Sion_1,4,Thierry Bonferroni,1965
Sion_1,4,Sébastien Vasey,1956
Sion_1,4,Thomas Mani,1949
Sion_1,4,Jonathan Jaccard,1949
Sion_1,4,Raphaël Perrin,1944
Sion_1,4,Bertrand Banderet,1942
Sion_1,4,Jeremy Butet,1930
Sion_1,4,Marc Tillmann,1921
Sion_1,4,Jörg Brauchli,1915
Sion_1,4,Michael Weber,1898
Sion_1,4,Pierpaolo Ranieri,1893
Sion_1,4,Luca Srdjenovic,1882
Sion_1,4,Jason Weber,1838
Sion_1,4,Brian von Moos,1736
Sion_2,1,Fabien Tordeur,1963
Sion_2,1,Vivian Rochat,1920
Sion_2,1,Colin Moesching,1897
Sion_2,1,Lucas Bueche,1844
Sion_2,1,Jorel Martin,1827
Sion_2,1,Alex Garfield,1821
Sion_2,1,Karel Bourban,1806
Sion_2,1,Carlo Bonferroni,1768
Sion_2,1,Laurent Geib,1673
Sion_2,1,Charles-François Feller,1670
Sion_2,1,Claude-Alain Bonvin,1629
Sion_2,1,Alessandro Bonalli,1621
Sion_2,1,Samuel Favre,1608
Sion_2,1,Hervé Frainay,1561
Sion_2,1,Jean-Claude Zermatten,1559
Sion_2,1,Alfred Senff,1544
Sion_2,1,Luc Udry,1523
Sion_2,2,Alain Tcheau,2011
Sion_2,2,François Perruchoud,1921
Sion_2,2,Daniel Jaquier,1871
Sion_2,2,Jean-Marie Carron,1852
Sion_2,2,Lucas Bueche,1841
Sion_2,2,Joël Loba,1833
Sion_2,2,Alexandre Briguet,1828
Sion_2,2,Philippe Grosjean-Ritz,1821
Sion_2,2,Cyril Dorsaz,1819
Sion_2,2,Armando Hauser,1819
Sion_2,2,Karel Bourban,1818
Sion_2,2,Michel Steiner,1803
Sion_2,2,Stephan Major,1797
Sion_2,2,Alex Garfield,1786
Sion_2,2,Alain Chollet,1783
Sion_2,2,Hervé Lanois,1781
Sion_2,2,Carlo Bonferroni,1774
Sion_2,2,Sandro Bétrisey,1745
Sion_2,2,Mazlum Tosun,1689
Sion_2,2,Simon Moerschell,1663
Sion_2,3,Fabien Tordeur,1977
Sion_2,3,Vincent Conrad,1904
Sion_2,3,Colin Moesching,1891
Sion_2,3,Andrea Giananti,1867
Sion_2,3,Pascal Machoud,1817
Sion_2,3,Olivier Dubuis,1778
Sion_2,3,David Bovet,1741
Sion_2,3,Charles-François Feller,1670
Sion_2,3,José Martinez,1662
Sion_2,3,Marius Jordan,1632
Sion_2,3,Claude-Alain Bonvin,1629
Sion_2,3,Alessandro Bonalli,1621
Sion_2,3,Jean-Claude Zermatten,1559
Sion_2,3,Alfred Senff,1544
Sion_2,3,Luc Udry,1523
Sion_2,3,Gilles Meynet,1470
Sion_2,4,Alain Tcheau,2011
Sion_2,4,Rolf Grütter,2006
Sion_2,4,Daniel Jaquier,1871
Sion_2,4,Adrian Silva,1857
Sion_2,4,Michael Cardoso Rodrigues,1854
Sion_2,4,Lucas Bueche,1841
Sion_2,4,Joël Loba,1833
Sion_2,4,Alexandre Briguet,1828
Sion_2,4,Olivier Crettenand,1826
Sion_2,4,Joan Cortada Garcia,1824
Sion_2,4,Armando Hauser,1819
Sion_2,4,Karel Bourban,1818
Sion_2,4,Alex Garfield,1786
Sion_2,4,Alain Chollet,1783
Sion_2,4,Sandro Bétrisey,1745
Sion_2,4,Mazlum Tosun,1689
Sion_2,4,Simon Moerschell,1663
Sion_2,4,Claude-Alain Bonvin,1629
Sion_2,4,Alessandro Bonalli,1621
Sion_2,4,Jean-Claude Zermatten,1559
Sion_2,4,Luc Udry,1523
